Demonstration/tree_013 | center=(471.72, 5.08, -363.47) size=(10.13, 10.64, 9.67) collider=True
Demonstration/tree_013 | center=(328.08, 5.08, -405.28) size=(10.72, 10.64, 11.06) collider=True
Demonstration/traffic_light_003 | center=(574.07, 1.84, -227.71) size=(0.20, 3.68, 0.88) collider=True
Demonstration/trash_005 | center=(-4.33, 0.61, 53.54) size=(1.28, 1.21, 1.27) collider=True
Demonstration/trash_003 | center=(-67.32, 5.60, -328.51) size=(1.33, 1.21, 1.33) collider=True
Demonstration/tree_017 | center=(1156.52, 4.01, -222.60) size=(8.80, 8.20, 9.28) collider=True
Demonstration/bush_005 | center=(206.01, 0.50, 71.79) size=(2.67, 1.00, 1.00) collider=True
Demonstration/chain_001 | center=(183.23, 0.59, -6.71) size=(2.06, 0.28, 0.13) collider=True
Demonstration/trash_003 | center=(706.62, 0.60, -40.08) size=(1.20, 1.21, 1.20) collider=True
Demonstration/lamppost_001 | center=(219.62, 3.56, -284.92) size=(2.66, 6.92, 0.37) collider=True
Demonstration/building_platform_006 | center=(690.00, 0.00, 165.00) size=(15.00, 0.20, 15.00) collider=True
Demonstration/fence_001 | center=(-417.40, 10.75, -381.60) size=(4.00, 1.50, 0.79) collider=True
Demonstration/bike_parking_001 | center=(486.22, 0.45, 159.28) size=(0.93, 0.91, 4.21) collider=True
Demonstration/tree_012 | center=(285.40, 4.31, -59.28) size=(9.13, 9.12, 9.62) collider=True
Demonstration/lamppost_001 | center=(385.03, 3.46, 125.40) size=(0.37, 6.92, 2.66) collider=True
Demonstration/bush_002 | center=(158.68, 0.66, 83.57) size=(0.94, 1.31, 1.94) collider=True
Demonstration/building_platform_002 | center=(45.00, 0.00, -240.00) size=(15.00, 0.20, 15.00) collider=True
Demonstration/lamppost_001 | center=(339.67, 3.46, -180.38) size=(2.66, 6.92, 0.37) collider=True
Demonstration/lamppost_001 | center=(-99.59, 3.56, -474.63) size=(0.37, 6.92, 2.66) collider=True
Demonstration/bench_001 | center=(622.87, 0.52, 206.53) size=(2.27, 1.08, 0.98) collider=True
Demonstration/grass_001 | center=(858.75, 0.00, 97.50) size=(52.50, 0.00, 30.00) collider=True
Demonstration/traffic_light_002 | center=(572.59, 2.94, -252.18) size=(4.73, 5.88, 0.80) collider=True
Demonstration/manhole_001 | center=(-148.91, 0.03, -465.69) size=(0.94, 0.06, 0.94) collider=True
Demonstration/bush_005 | center=(131.80, 0.50, 56.15) size=(1.00, 1.00, 2.92) collider=True
